,molecule_chembl_id,IC50,units,units.1,smiles,pIC50
0,CHEMBL4113723,0.05,nM,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3cc(F)ccc3s1)c(=O)n2C,10.301029995663981
1,CHEMBL4448186,0.1,nM,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(Cl)cc1C(=O)O)c(=O)n2C,10.0
2,CHEMBL4111229,0.1,nM,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3ccccc3s1)c(=O)n2C,10.0
3,CHEMBL186877,0.1,nM,nM,COc1cc(OC)cc(-c2nc(-c3ccc(Cl)cc3Cl)c(CN(C)C)c(N(C)C)n2)c1,10.0
4,CHEMBL34062,0.1,nM,nM,COc1cc(OC)cc(-c2nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)n2)c1,10.0
5,CHEMBL3806052,0.12,nM,nM,N[C@H]1C[C@@H](N2Cc3nn4nccnc4c3C2)CO[C@@H]1c1cc(F)ccc1F,9.920818753952375
6,CHEMBL370046,0.13,nM,nmol/L,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1C#N,9.886056647693163
7,CHEMBL456420,0.13,nM,nM/L,N#Cc1ccc(N[C@@H]2CNC(C(=O)N3CCC[C@H]3C#N)C2)cc1C#N,9.886056647693163
8,CHEMBL5220657,0.13,nM,nM,C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,9.886056647693163
9,CHEMBL194717,0.13,nM,nmol/L,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1Cl,9.886056647693163
10,CHEMBL5220613,0.14,nM,nM,CCOC(=O)/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,9.853871964321762
11,CHEMBL3805966,0.14,nM,nM,Cc1cc2ncc3c(n2n1)CN([C@H]1CC[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,9.853871964321762
12,CHEMBL445437,0.15,nM,nM/L,N#Cc1ccc(N[C@@H]2CNC(C(=O)N3CCC[C@H]3C#N)C2)cc1Cl,9.823908740944319
13,CHEMBL5220594,0.16,nM,nM,C=COC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,9.795880017344075
14,CHEMBL3644459,0.17,nM,nM,NC(=O)c1[nH]nc2c1CN([C@H]1CSC(c3cc(F)ccc3F)[C@@H](N)C1)C2,9.769551078621726
15,CHEMBL1203953,0.18,nM,nM,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)[C@H]1Cc1ccc(F)cc1)Cc1cc(F)c(F)cc1F,9.744727494896694
16,CHEMBL370540,0.18,nM,nmol/L,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](Nc2ccc([N+](=O)[O-])cc2)CN1,9.744727494896694
17,CHEMBL4465482,0.18,nM,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1cc(Cl)ccc1C(=O)O)c(=O)n2C,9.744727494896694
18,CHEMBL371143,0.19,nM,nmol/L,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1,9.721246399047171
19,CHEMBL2147704,0.2,nM,nmol/L,O=C([C@@H]1C[C@H](N2CCN(c3nnnn3-c3ccccc3)CC2)CN1)N1CCSC1,9.698970004336019
